titles,abstracts,terms
How a minimal learning agent can infer the existence of unobserved variables in a complex environment,"According to a mainstream position in contemporary cognitive science and
philosophy, the use of abstract compositional concepts is both a necessary and
a sufficient condition for the presence of genuine thought. In this article, we
show how the ability to develop and utilise abstract conceptual structures can
be achieved by a particular kind of learning agents. More specifically, we
provide and motivate a concrete operational definition of what it means for
these agents to be in possession of abstract concepts, before presenting an
explicit example of a minimal architecture that supports this capability. We
then proceed to demonstrate how the existence of abstract conceptual structures
can be operationally useful in the process of employing previously acquired
knowledge in the face of new experiences, thereby vindicating the natural
conjecture that the cognitive functions of abstraction and generalisation are
closely related.
  Keywords: concept formation, projective simulation, reinforcement learning,
transparent artificial intelligence, theory formation, explainable artificial
intelligence (XAI)",stat
Improved Consistency Regularization for GANs,"Recent work has increased the performance of Generative Adversarial Networks
(GANs) by enforcing a consistency cost on the discriminator. We improve on this
technique in several ways. We first show that consistency regularization can
introduce artifacts into the GAN samples and explain how to fix this issue. We
then propose several modifications to the consistency regularization procedure
designed to improve its performance. We carry out extensive experiments
quantifying the benefit of our improvements. For unconditional image synthesis
on CIFAR-10 and CelebA, our modifications yield the best known FID scores on
various GAN architectures. For conditional image synthesis on CIFAR-10, we
improve the state-of-the-art FID score from 11.48 to 9.21. Finally, on
ImageNet-2012, we apply our technique to the original BigGAN model and improve
the FID from 6.66 to 5.38, which is the best score at that model size.",stat
Physics-based Deep Learning,"This digital book contains a practical and comprehensive introduction of
everything related to deep learning in the context of physical simulations. As
much as possible, all topics come with hands-on code examples in the form of
Jupyter notebooks to quickly get started. Beyond standard supervised learning
from data, we'll look at physical loss constraints, more tightly coupled
learning algorithms with differentiable simulations, as well as reinforcement
learning and uncertainty modeling. We live in exciting times: these methods
have a huge potential to fundamentally change what computer simulations can
achieve.",cs
Learning Graph Embeddings for Open World Compositional Zero-Shot Learning,"Compositional Zero-Shot learning (CZSL) aims to recognize unseen compositions
of state and object visual primitives seen during training. A problem with
standard CZSL is the assumption of knowing which unseen compositions will be
available at test time. In this work, we overcome this assumption operating on
the open world setting, where no limit is imposed on the compositional space at
test time, and the search space contains a large number of unseen compositions.
To address this problem, we propose a new approach, Compositional Cosine Graph
Embeddings (Co-CGE), based on two principles. First, Co-CGE models the
dependency between states, objects and their compositions through a graph
convolutional neural network. The graph propagates information from seen to
unseen concepts, improving their representations. Second, since not all unseen
compositions are equally feasible, and less feasible ones may damage the
learned representations, Co-CGE estimates a feasibility score for each unseen
composition, using the scores as margins in a cosine similarity-based loss and
as weights in the adjacency matrix of the graphs. Experiments show that our
approach achieves state-of-the-art performances in standard CZSL while
outperforming previous methods in the open world scenario.",cs
Learning to Schedule DAG Tasks,"Scheduling computational tasks represented by directed acyclic graphs (DAGs)
is challenging because of its complexity. Conventional scheduling algorithms
rely heavily on simple heuristics such as shortest job first (SJF) and critical
path (CP), and are often lacking in scheduling quality. In this paper, we
present a novel learning-based approach to scheduling DAG tasks. The algorithm
employs a reinforcement learning agent to iteratively add directed edges to the
DAG, one at a time, to enforce ordering (i.e., priorities of execution and
resource allocation) of ""tricky"" job nodes. By doing so, the original DAG
scheduling problem is dramatically reduced to a much simpler proxy problem, on
which heuristic scheduling algorithms such as SJF and CP can be efficiently
improved. Our approach can be easily applied to any existing heuristic
scheduling algorithms. On the benchmark dataset of TPC-H, we show that our
learning based approach can significantly improve over popular heuristic
algorithms and consistently achieves the best performance among several methods
under a variety of settings.",cs
Simultaneous Learning of Trees and Representations for Extreme Classification and Density Estimation,"We consider multi-class classification where the predictor has a hierarchical
structure that allows for a very large number of labels both at train and test
time. The predictive power of such models can heavily depend on the structure
of the tree, and although past work showed how to learn the tree structure, it
expected that the feature vectors remained static. We provide a novel algorithm
to simultaneously perform representation learning for the input data and
learning of the hierarchi- cal predictor. Our approach optimizes an objec- tive
function which favors balanced and easily- separable multi-way node partitions.
We theoret- ically analyze this objective, showing that it gives rise to a
boosting style property and a bound on classification error. We next show how
to extend the algorithm to conditional density estimation. We empirically
validate both variants of the al- gorithm on text classification and language
mod- eling, respectively, and show that they compare favorably to common
baselines in terms of accu- racy and running time.",stat
Towards Deep Cellular Phenotyping in Placental Histology,"The placenta is a complex organ, playing multiple roles during fetal
development. Very little is known about the association between placental
morphological abnormalities and fetal physiology. In this work, we present an
open sourced, computationally tractable deep learning pipeline to analyse
placenta histology at the level of the cell. By utilising two deep
Convolutional Neural Network architectures and transfer learning, we can
robustly localise and classify placental cells within five classes with an
accuracy of 89%. Furthermore, we learn deep embeddings encoding phenotypic
knowledge that is capable of both stratifying five distinct cell populations
and learn intraclass phenotypic variance. We envisage that the automation of
this pipeline to population scale studies of placenta histology has the
potential to improve our understanding of basic cellular placental biology and
its variations, particularly its role in predicting adverse birth outcomes.",cs
Optimizing Photonic Nanostructures via Multi-fidelity Gaussian Processes,"We apply numerical methods in combination with finite-difference-time-domain
(FDTD) simulations to optimize transmission properties of plasmonic mirror
color filters using a multi-objective figure of merit over a five-dimensional
parameter space by utilizing novel multi-fidelity Gaussian processes approach.
We compare these results with conventional derivative-free global search
algorithms, such as (single-fidelity) Gaussian Processes optimization scheme,
and Particle Swarm Optimization---a commonly used method in nanophotonics
community, which is implemented in Lumerical commercial photonics software. We
demonstrate the performance of various numerical optimization approaches on
several pre-collected real-world datasets and show that by properly trading off
expensive information sources with cheap simulations, one can more effectively
optimize the transmission properties with a fixed budget.",stat
MSTREAM: Fast Anomaly Detection in Multi-Aspect Streams,"Given a stream of entries in a multi-aspect data setting i.e., entries having
multiple dimensions, how can we detect anomalous activities in an unsupervised
manner? For example, in the intrusion detection setting, existing work seeks to
detect anomalous events or edges in dynamic graph streams, but this does not
allow us to take into account additional attributes of each entry. Our work
aims to define a streaming multi-aspect data anomaly detection framework,
termed MSTREAM which can detect unusual group anomalies as they occur, in a
dynamic manner. MSTREAM has the following properties: (a) it detects anomalies
in multi-aspect data including both categorical and numeric attributes; (b) it
is online, thus processing each record in constant time and constant memory;
(c) it can capture the correlation between multiple aspects of the data.
MSTREAM is evaluated over the KDDCUP99, CICIDS-DoS, UNSW-NB 15 and CICIDS-DDoS
datasets, and outperforms state-of-the-art baselines.",stat
Predicting Driver Takeover Time in Conditionally Automated Driving,"It is extremely important to ensure a safe takeover transition in
conditionally automated driving. One of the critical factors that quantifies
the safe takeover transition is takeover time. Previous studies identified the
effects of many factors on takeover time, such as takeover lead time,
non-driving tasks, modalities of the takeover requests (TORs), and scenario
urgency. However, there is a lack of research to predict takeover time by
considering these factors all at the same time. Toward this end, we used
eXtreme Gradient Boosting (XGBoost) to predict the takeover time using a
dataset from a meta-analysis study [1]. In addition, we used SHAP (SHapley
Additive exPlanation) to analyze and explain the effects of the predictors on
takeover time. We identified seven most critical predictors that resulted in
the best prediction performance. Their main effects and interaction effects on
takeover time were examined. The results showed that the proposed approach
provided both good performance and explainability. Our findings have
implications on the design of in-vehicle monitoring and alert systems to
facilitate the interaction between the drivers and the automated vehicle.",cs
EC-Net: an Edge-aware Point set Consolidation Network,"Point clouds obtained from 3D scans are typically sparse, irregular, and
noisy, and required to be consolidated. In this paper, we present the first
deep learning based edge-aware technique to facilitate the consolidation of
point clouds. We design our network to process points grouped in local patches,
and train it to learn and help consolidate points, deliberately for edges. To
achieve this, we formulate a regression component to simultaneously recover 3D
point coordinates and point-to-edge distances from upsampled features, and an
edge-aware joint loss function to directly minimize distances from output
points to 3D meshes and to edges. Compared with previous neural network based
works, our consolidation is edge-aware. During the synthesis, our network can
attend to the detected sharp edges and enable more accurate 3D reconstructions.
Also, we trained our network on virtual scanned point clouds, demonstrated the
performance of our method on both synthetic and real point clouds, presented
various surface reconstruction results, and showed how our method outperforms
the state-of-the-arts.",cs
AGRNet: Adaptive Graph Representation Learning and Reasoning for Face Parsing,"Face parsing infers a pixel-wise label to each facial component, which has
drawn much attention recently. Previous methods have shown their success in
face parsing, which however overlook the correlation among facial components.
As a matter of fact, the component-wise relationship is a critical clue in
discriminating ambiguous pixels in facial area. To address this issue, we
propose adaptive graph representation learning and reasoning over facial
components, aiming to learn representative vertices that describe each
component, exploit the component-wise relationship and thereby produce accurate
parsing results against ambiguity. In particular, we devise an adaptive and
differentiable graph abstraction method to represent the components on a graph
via pixel-to-vertex projection under the initial condition of a predicted
parsing map, where pixel features within a certain facial region are aggregated
onto a vertex. Further, we explicitly incorporate the image edge as a prior in
the model, which helps to discriminate edge and non-edge pixels during the
projection, thus leading to refined parsing results along the edges. Then, our
model learns and reasons over the relations among components by propagating
information across vertices on the graph. Finally, the refined vertex features
are projected back to pixel grids for the prediction of the final parsing map.
To train our model, we propose a discriminative loss to penalize small
distances between vertices in the feature space, which leads to distinct
vertices with strong semantics. Experimental results show the superior
performance of the proposed model on multiple face parsing datasets, along with
the validation on the human parsing task to demonstrate the generalizability of
our model.",cs
Virtual Normal: Enforcing Geometric Constraints for Accurate and Robust Depth Prediction,"Monocular depth prediction plays a crucial role in understanding 3D scene
geometry. Although recent methods have achieved impressive progress in terms of
evaluation metrics such as the pixel-wise relative error, most methods neglect
the geometric constraints in the 3D space. In this work, we show the importance
of the high-order 3D geometric constraints for depth prediction. By designing a
loss term that enforces a simple geometric constraint, namely, virtual normal
directions determined by randomly sampled three points in the reconstructed 3D
space, we significantly improve the accuracy and robustness of monocular depth
estimation. Significantly, the virtual normal loss can not only improve the
performance of learning metric depth, but also disentangle the scale
information and enrich the model with better shape information. Therefore, when
not having access to absolute metric depth training data, we can use virtual
normal to learn a robust affine-invariant depth generated on diverse scenes. In
experiments, We show state-of-the-art results of learning metric depth on NYU
Depth-V2 and KITTI. From the high-quality predicted depth, we are now able to
recover good 3D structures of the scene such as the point cloud and surface
normal directly, eliminating the necessity of relying on additional models as
was previously done. To demonstrate the excellent generalizability of learning
affine-invariant depth on diverse data with the virtual normal loss, we
construct a large-scale and diverse dataset for training affine-invariant
depth, termed Diverse Scene Depth dataset (DiverseDepth), and test on five
datasets with the zero-shot test setting. Code is available at:
https://git.io/Depth",cs
CLIP-It! Language-Guided Video Summarization,"A generic video summary is an abridged version of a video that conveys the
whole story and features the most important scenes. Yet the importance of
scenes in a video is often subjective, and users should have the option of
customizing the summary by using natural language to specify what is important
to them. Further, existing models for fully automatic generic summarization
have not exploited available language models, which can serve as an effective
prior for saliency. This work introduces CLIP-It, a single framework for
addressing both generic and query-focused video summarization, typically
approached separately in the literature. We propose a language-guided
multimodal transformer that learns to score frames in a video based on their
importance relative to one another and their correlation with a user-defined
query (for query-focused summarization) or an automatically generated dense
video caption (for generic video summarization). Our model can be extended to
the unsupervised setting by training without ground-truth supervision. We
outperform baselines and prior work by a significant margin on both standard
video summarization datasets (TVSum and SumMe) and a query-focused video
summarization dataset (QFVS). Particularly, we achieve large improvements in
the transfer setting, attesting to our method's strong generalization
capabilities.",cs
EX2: Exploration with Exemplar Models for Deep Reinforcement Learning,"Deep reinforcement learning algorithms have been shown to learn complex tasks
using highly general policy classes. However, sparse reward problems remain a
significant challenge. Exploration methods based on novelty detection have been
particularly successful in such settings but typically require generative or
predictive models of the observations, which can be difficult to train when the
observations are very high-dimensional and complex, as in the case of raw
images. We propose a novelty detection algorithm for exploration that is based
entirely on discriminatively trained exemplar models, where classifiers are
trained to discriminate each visited state against all others. Intuitively,
novel states are easier to distinguish against other states seen during
training. We show that this kind of discriminative modeling corresponds to
implicit density estimation, and that it can be combined with count-based
exploration to produce competitive results on a range of popular benchmark
tasks, including state-of-the-art results on challenging egocentric
observations in the vizDoom benchmark.",cs
Attentive Relational Networks for Mapping Images to Scene Graphs,"Scene graph generation refers to the task of automatically mapping an image
into a semantic structural graph, which requires correctly labeling each
extracted object and their interaction relationships. Despite the recent
success in object detection using deep learning techniques, inferring complex
contextual relationships and structured graph representations from visual data
remains a challenging topic. In this study, we propose a novel Attentive
Relational Network that consists of two key modules with an object detection
backbone to approach this problem. The first module is a semantic
transformation module utilized to capture semantic embedded relation features,
by translating visual features and linguistic features into a common semantic
space. The other module is a graph self-attention module introduced to embed a
joint graph representation through assigning various importance weights to
neighboring nodes. Finally, accurate scene graphs are produced by the relation
inference module to recognize all entities and the corresponding relations. We
evaluate our proposed method on the widely-adopted Visual Genome Dataset, and
the results demonstrate the effectiveness and superiority of our model.",cs
Two-Bit Networks for Deep Learning on Resource-Constrained Embedded Devices,"With the rapid proliferation of Internet of Things and intelligent edge
devices, there is an increasing need for implementing machine learning
algorithms, including deep learning, on resource-constrained mobile embedded
devices with limited memory and computation power. Typical large Convolutional
Neural Networks (CNNs) need large amounts of memory and computational power,
and cannot be deployed on embedded devices efficiently. We present Two-Bit
Networks (TBNs) for model compression of CNNs with edge weights constrained to
(-2, -1, 1, 2), which can be encoded with two bits. Our approach can reduce the
memory usage and improve computational efficiency significantly while achieving
good performance in terms of classification accuracy, thus representing a
reasonable tradeoff between model size and performance.",cs
Adversarial Continual Learning,"Continual learning aims to learn new tasks without forgetting previously
learned ones. We hypothesize that representations learned to solve each task in
a sequence have a shared structure while containing some task-specific
properties. We show that shared features are significantly less prone to
forgetting and propose a novel hybrid continual learning framework that learns
a disjoint representation for task-invariant and task-specific features
required to solve a sequence of tasks. Our model combines architecture growth
to prevent forgetting of task-specific skills and an experience replay approach
to preserve shared skills. We demonstrate our hybrid approach is effective in
avoiding forgetting and show it is superior to both architecture-based and
memory-based approaches on class incrementally learning of a single dataset as
well as a sequence of multiple datasets in image classification. Our code is
available at
\url{https://github.com/facebookresearch/Adversarial-Continual-Learning}.",stat
Boundary-Aware 3D Object Detection from Point Clouds,"Currently, existing state-of-the-art 3D object detectors are in two-stage
paradigm. These methods typically comprise two steps: 1) Utilize region
proposal network to propose a fraction of high-quality proposals in a bottom-up
fashion. 2) Resize and pool the semantic features from the proposed regions to
summarize RoI-wise representations for further refinement. Note that these
RoI-wise representations in step 2) are considered individually as an
uncorrelated entry when fed to following detection headers. Nevertheless, we
observe these proposals generated by step 1) offset from ground truth somehow,
emerging in local neighborhood densely with an underlying probability.
Challenges arise in the case where a proposal largely forsakes its boundary
information due to coordinate offset while existing networks lack corresponding
information compensation mechanism. In this paper, we propose BANet for 3D
object detection from point clouds. Specifically, instead of refining each
proposal independently as previous works do, we represent each proposal as a
node for graph construction within a given cut-off threshold, associating
proposals in the form of local neighborhood graph, with boundary correlations
of an object being explicitly exploited. Besides, we devise a lightweight
Region Feature Aggregation Network to fully exploit voxel-wise, pixel-wise, and
point-wise feature with expanding receptive fields for more informative
RoI-wise representations. As of Apr. 17th, 2021, our BANet achieves on par
performance on KITTI 3D detection leaderboard and ranks $1^{st}$ on $Moderate$
difficulty of $Car$ category on KITTI BEV detection leaderboard. The source
code will be released once the paper is accepted.",cs
Color-based Segmentation of Sky/Cloud Images From Ground-based Cameras,"Sky/cloud images captured by ground-based cameras (a.k.a. whole sky imagers)
are increasingly used nowadays because of their applications in a number of
fields, including climate modeling, weather prediction, renewable energy
generation, and satellite communications. Due to the wide variety of cloud
types and lighting conditions in such images, accurate and robust segmentation
of clouds is challenging. In this paper, we present a supervised segmentation
framework for ground-based sky/cloud images based on a systematic analysis of
different color spaces and components, using partial least squares (PLS)
regression. Unlike other state-of-the-art methods, our proposed approach is
entirely learning-based and does not require any manually-defined parameters.
In addition, we release the Singapore Whole Sky IMaging SEGmentation Database
(SWIMSEG), a large database of annotated sky/cloud images, to the research
community.",cs
"Explainable, Stable, and Scalable Graph Convolutional Networks for Learning Graph Representation","The network embedding problem that maps nodes in a graph to vectors in
Euclidean space can be very useful for addressing several important tasks on a
graph. Recently, graph neural networks (GNNs) have been proposed for solving
such a problem. However, most embedding algorithms and GNNs are difficult to
interpret and do not scale well to handle millions of nodes. In this paper, we
tackle the problem from a new perspective based on the equivalence of three
constrained optimization problems: the network embedding problem, the trace
maximization problem of the modularity matrix in a sampled graph, and the
matrix factorization problem of the modularity matrix in a sampled graph. The
optimal solutions to these three problems are the dominant eigenvectors of the
modularity matrix. We proposed two algorithms that belong to a special class of
graph convolutional networks (GCNs) for solving these problems: (i) Clustering
As Feature Embedding GCN (CAFE-GCN) and (ii) sphere-GCN. Both algorithms are
stable trace maximization algorithms, and they yield good approximations of
dominant eigenvectors. Moreover, there are linear-time implementations for
sparse graphs. In addition to solving the network embedding problem, both
proposed GCNs are capable of performing dimensionality reduction. Various
experiments are conducted to evaluate our proposed GCNs and show that our
proposed GCNs outperform almost all the baseline methods. Moreover, CAFE-GCN
could be benefited from the labeled data and have tremendous improvements in
various performance metrics.",stat
Domain Adaptation for Time Series Forecasting via Attention Sharing,"Recent years have witnessed deep neural networks gaining increasing
popularity in the field of time series forecasting. A primary reason of their
success is their ability to effectively capture complex temporal dynamics
across multiple related time series. However, the advantages of these deep
forecasters only start to emerge in the presence of a sufficient amount of
data. This poses a challenge for typical forecasting problems in practice,
where one either has a small number of time series, or limited observations per
time series, or both. To cope with the issue of data scarcity, we propose a
novel domain adaptation framework, Domain Adaptation Forecaster (DAF), that
leverages the statistical strengths from another relevant domain with abundant
data samples (source) to improve the performance on the domain of interest with
limited data (target). In particular, we propose an attention-based shared
module with a domain discriminator across domains as well as private modules
for individual domains. This allows us to jointly train the source and target
domains by generating domain-invariant latent features while retraining
domain-specific features. Extensive experiments on various domains demonstrate
that our proposed method outperforms state-of-the-art baselines on synthetic
and real-world datasets.",stat
High dynamic range image forensics using cnn,"High dynamic range (HDR) imaging has recently drawn much attention in
multimedia community. In this paper, we proposed a HDR image forensics method
based on convolutional neural network (CNN).To our best knowledge, this is the
first time to apply deep learning method on HDR image forensics. The proposed
algorithm uses CNN to distinguish HDR images generated by multiple low dynamic
range (LDR) images from that expanded by single LDR image using inverse tone
mapping (iTM). To do this, we learn the change of statistical characteristics
extracted by the proposed CNN architectures and classify two kinds of HDR
images. Comparision results with some traditional statistical characteristics
shows efficiency of the proposed method in HDR image source identification.",cs
Comparing Deep Reinforcement Learning and Evolutionary Methods in Continuous Control,"Reinforcement Learning and the Evolutionary Strategy are two major approaches
in addressing complicated control problems. Both are strong contenders and have
their own devotee communities. Both groups have been very active in developing
new advances in their own domain and devising, in recent years, leading-edge
techniques to address complex continuous control tasks. Here, in the context of
Deep Reinforcement Learning, we formulate a parallelized version of the
Proximal Policy Optimization method and a Deep Deterministic Policy Gradient
method. Moreover, we conduct a thorough comparison between the state-of-the-art
techniques in both camps fro continuous control; evolutionary methods and Deep
Reinforcement Learning methods. The results show there is no consistent winner.",cs
